Date,Team,Acquired,Relinquished,Notes
2009-09-01, Jaguars, ,  Don Carey, placed on IR with shoulder injury
2009-09-01, Panthers, ,  Nate Salley, placed on IR with right knee injury
2009-09-01, Rams, ,  Brooks Foster, placed on IR with ankle injury
2009-09-02, Colts,  Adam Vinatieri, , activated from physically unable to perform list
2009-09-02, Seahawks, , Cory Withrow, placed on IR with hip injury
2009-09-04, Bills, ,  Lydell Sargeant, placed on IR with knee injury
2009-09-04, Broncos, , Matt McChesney, placed on IR with sprained ankle (CBC CBS NFL)
2009-09-05, Bears, ,  Dahna Deleston, placed on IR with hamstring injury
2009-09-05, Bears, ,  Henry Melton, placed on IR with ankle injury
2009-09-05, Bears, ,  Kevin Jones (S.), placed on IR with left ankle injury
2009-09-05, Bears,  Charles Tillman, , activated from physically unable to perform list
2009-09-05, Bengals, ,  Antonio Chatman, placed on IR with ankle injury (CBC CBS)
2009-09-05, Bills, ,  James Hardy (b), placed on physically unable to perform list (CBS E)
2009-09-05, Buccaneers, ,  Xavier Fulton, placed on IR with knee injury
2009-09-05, Cardinals, ,  Dennis Keyes, placed on IR with calf injury
2009-09-05, Chargers, ,  Demetrius Byrd, placed on IR with shoulder injury
2009-09-05, Chargers, ,  Ryon Bingham, placed on IR with arm injury (CBC CBS)
