Date,Team,Acquired,Relinquished,Notes
2009-10-19, Panthers, ,  Dante Wesley, suspended by NFL for 1 game for safety rules violation
2009-10-21, Panthers, ,  Dante Wesley, placed on suspended list
2009-10-27, Chiefs, ,  Larry Johnson (b), suspended by team for 1 game for conduct detrimental to the team
2009-10-27, Panthers,  Dante Wesley, , reinstated from suspension
2009-10-28, Rams,  David Vobora, , reinstated from suspension
2009-11-09, Chiefs,  Larry Johnson (b), , reinstated from suspension
2009-11-11, Eagles, ,  Joselio Hanson, suspended by NFL for 4 games for violating the league policy on banned substances
2009-11-14, Chargers, ,  Eric Weddle," fined $7,500 by NFL"
2009-11-17, Buccaneers,  Arron Sears, , activated from physically unable to perform list (CBS) / did-not-report list (CBC E)
2009-11-17, Chiefs, ,  Dwayne Bowe, suspended by NFL for 4 games for violating the league's policy on banned substances
2009-11-18, Buccaneers, ,  Raheem Morris, fined as head coach $20K by NFL
2009-11-30, , ,  Travis LaBoy, suspended by NFL for 4 games
2009-12-03, Rams, ,  Steven Jackson (R.)," fined $5,000 by NFL"
2009-12-04, Jets, ,  Kerry Rhodes," fined $5,000 by NFL"
2009-12-07, Eagles,  Joselio Hanson, , reinstated from suspension
2009-12-08, Bengals, ,  Chad Ochocinco / Chad Johnson (a), fined $30K by NFL
2009-12-15, Vikings, ,  Erin Henderson, suspended by NFL for 4 games for violation of league policy on banned substances
2009-12-16, Chiefs,  Dwayne Bowe, , reinstated from suspension
2009-12-19, Eagles, ,  Trent Cole," fined $15,000 by NFL"
2009-12-19, Giants, ,  Shaun O'Hara," fined $15,000 by NFL"
2009-12-24, Raiders, ,  Luke Lawton, suspended by NFL for 4 games for substance abuse
2010-01-19, Vikings,  Erin Henderson, , reinstated from suspension
2010-01-29, Saints, ,  Bobby McCray," fined $20,000 by NFL"
2010-02-02, Jets, ,  Rex Ryan," fined $50,000 by NFL for making an obscene jesture at a public event"
2010-02-07, Browns,  Donte' Stallworth / Donte Stallworth, , reinstated from suspension
2010-03-07, , ,  Jason Ferguson, suspended by NFL for 8 games for violating the league's substanace abuse policy
2010-03-07, , ,  Ryan Tucker, suspended by NFL for 8 games for violating the league's substanace abuse policy
2010-04-12, Jets, ,  Santonio Holmes, suspended for the first 4 games of the 2010 season for violating the league's substance abuse policy
2010-04-21, Steelers, ,  Ben Roethlisberger, suspended by NFL for 6 games for violating the league's personal conduct policy
2010-05-07, Texans, ,  Brian Cushing, suspended by NFL for 4 games for violation of the league's substance abuse policy
2010-06-03, Falcons, ,  Quinn Ojinnaka, suspended by NFL for 1 game for violating the league's personal conduct policy
2010-06-14, Titans, ,  Gerald McRath, suspended by NFL for 4 games for violation of the league's policy on performance enhancing drugs
2010-06-21, Cardinals, ,  Ed Gant, suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs
2010-07-01, Chargers, ,  Vincent Jackson, suspended by NFL for 3 games for violating the league's personal conduct policy / violating the league's substance abuse policy (E)
2010-07-01, Panthers, ,  Hollis Thomas, suspended by NFL for 8 games for violating the league policy on performance enhancing drugs
2010-07-01, Seahawks, ,  LenDale White, suspended by NFL for 4 games for violating the league's substance abuse policy
2010-07-08, Falcons, ,  Robert James (b), suspended by NFL for 4 games for violation of the league policy on performance enhancing drugs
2010-07-16, Packers, ,  Johnny Jolly, suspended by NFL indefinitely for violating the league's substance abuse policy
2010-07-16, Seahawks, ,  LeRoy Hill, suspended by NFL for 1 game for violating the league's substance abuse policy
2010-07-22, Ravens, ,  Cary Williams, suspended by NFL for 2 games for violation of the league's personal conduct policy
2010-07-29, Bills, ,  Aaron Schobel, placed on reserve/did not report list
2010-07-29, Patriots, ,  Derrick Burgess, placed on reserve/did not report list
2010-07-30, Packers, ,  Aleric Mullins, placed on reserve/did not report list
2010-08-03, Falcons, ,  Jonathan Babineaux, suspended by NFL for 1 game for violation of the league's substance abuse policy
2010-08-13, Patriots,  Derrick Burgess, , activated from reserve/did not report list
2010-08-20, Bills, ,  Shawn Nelson, suspended by NFL for 4 games for violating the league's substance abuse policy
2010-08-24, Bengals, ,  Chad Ochocinco / Chad Johnson (a), fined $25K by NFL for violation of Twitter policy
2010-08-30, Bengals, ,  Maurice Purify, suspended by NFL for 1 game for violation of the league's personal conduct policy
2010-08-30, Saints, ,  Travis Jones, suspended as defensive line coach by team for 30 days for his admitted role in a real estate scam
2010-08-31, Browns, ,  Shaun Rogers, fined 1 game check by NFL
2010-08-31, Buccaneers, ,  Aqib Talib, suspended by NFL for 1 game for violating the league's personal conduct policy
2010-08-31, Jets, ,  Darrelle Revis, placed on reserve/did-not-report list
2010-08-31, Patriots, ,  Logan Mankins, placed on reserve/did-not-report list
2010-09-03, Steelers, ,  Ben Roethlisberger, earlier suspension reduced to 4 games
2010-09-13, Patriots,  Quinn Ojinnaka, , reinstated from suspension
2010-09-14, Buccaneers,  Aqib Talib, , reinstated from suspension
2010-09-14, Falcons,  Jonathan Babineaux, , reinstated from suspension
2010-09-14, Seahawks,  LeRoy Hill, , reinstated from suspension
2010-09-20, Ravens,  Cary Williams, , reinstated from suspension
2010-09-20, Raiders,  Luke Lawton, , reinstated from suspension
2010-09-21, Giants, ,  Brandon Jacobs," fined $10,000 by NFL"
2010-09-21, Ravens, ,  John Harbaugh, fined as head coach $15K by NFL
2010-09-21, Texans, ,  Duane Brown, suspended by NFL for 4 games for violation of league's policy on performance enhancing drugs
2010-09-22, Buccaneers, ,  Tanard Jackson, suspended by NFL indefinitely for violation of league's substance abuse policy
2010-09-22, Steelers, ,  James Harrison (b)," fined $5,000 by NFL"
2010-09-27, Dolphins, ,  Tony McDaniel, suspended by NFL for 1 game for violation of the league's personal conduct policy
2010-10-04, Bills,  Shawn Nelson, , reinstated from suspension
2010-10-04, Cardinals,  Ed Gant, , reinstated from suspension
2010-10-04, Chargers, ,  Steve Gregory, suspended by NFL for 4 games
2010-10-04, Falcons,  Robert James (b), , reinstated from suspension
2010-10-04, Jets,  Santonio Holmes, , reinstated from suspension
2010-10-04, Seahawks, ,  LeRoy Hill, suspended by NFL for 1 game and fined 2 game checks
2010-10-04, Steelers,  Ben Roethlisberger, , reinstated from suspension
2010-10-04, Texans,  Brian Cushing, , reinstated from suspension
2010-10-04, Titans,  Gerald McRath, , reinstated from suspension
2010-10-05, Dolphins,  Tony McDaniel, , reinstated from suspension
2010-10-15, Bengals, ,  Antwan Odom, suspended by NFL for 4 games for violation of league's policy on performance enhancing drugs
2010-10-19, Falcons, ,  Dunta Robinson," fined $50,000 by NFL for flagrant violations of player safety rules"
2010-10-19, Patriots, ,  Brandon Meriweather," fined $50,000 by NFL for flagrant violations of player safety rules"
2010-10-19, Steelers, ,  James Harrison (b), fined $75K by NFL for flagrant violations of player safety rules
2010-10-19, Texans,  Duane Brown, , reinstated from suspension
2010-10-20, Colts, ,  Pat McAfee, suspended by team for 1 game for conduct detrimental to team (arrest for public intoxication)
2010-10-22, Chargers, ,  Antwan Barnes," fined $5,000 by NFL"
2010-10-22, Eagles, ,  Kevin Kolb," fined $5,000 by NFL"
2010-10-22, Lions, ,  Stephen Peterman," fined $7,500 by NFL"
2010-10-22, Saints, ,  Malcolm Jenkins," fined $10,000 by NFL"
2010-10-22, Texans, ,  Adewale Ogunleye," fined $5,000 by NFL"
2010-10-22, Texans, ,  Bernard Pollard," fined $5,000 by NFL"
2010-10-22, Titans, ,  Dave Ball," fined $5,000 by NFL"
2010-10-22, Titans, ,  William Hayes (b)," fined $10,000 by NFL"
2010-10-22, Vikings, ,  Bernard Berrian," fined $5,000 by NFL"
2010-10-22, Vikings, ,  Ray Edwards," fined $20,000 by NFL"
2010-10-26, Vikings, ,  Brad Childress," fined as head coach $35,000 by NFL"
2010-11-01, , ,  Matt Clapp, suspended by NFL for 4 games for violation of undisclosed league policy
2010-11-01, Chargers,  Steve Gregory, , reinstated from suspension
2010-11-03, Colts,  Pat McAfee, , reinstated from suspension
2010-11-03, Eagles, ,  Ernie Sims," fined $50,000 by NFL"
2010-11-03, Titans, ,  Donnie Nickey," fined $2,500 by NFL"
2010-11-05, 49ers, ,  Ahmad Brooks," fined $10,000 by NFL"
2010-11-05, 49ers, ,  Manny Lawson, fined $12.5K by NFL
2010-11-05, Patriots, ,  Gary Guyton," fined $7,500 by NFL"
2010-11-05, Patriots, ,  Myron Pryor," fined $7,500 by NFL"
2010-11-05, Seahawks, ,  Chris Clemons (a)," fined $7,500 by NFL"
2010-11-05, Titans, ,  Jason Babin," fined $20,000 by NFL"
2010-11-06, Patriots,  Logan Mankins, , activated from reserve/did-not-report list
2010-11-08, Packers, ,  Nick Collins," fined $50,000 by NFL"
2010-11-11, Panthers, ,  Jon Beason," fined $10,000 by NFL"
2010-11-15, Bengals,  Antwan Odom, , reinstated from suspension
2010-11-19, Buccaneers, ,  Cody Grimm," fined $7,500 by NFL"
2010-11-19, Steelers, ,  LaMarr Woodley, fined $12.5K by NFL
2010-11-19, Titans, ,  David Stewart," fined $20,000 by NFL"
2010-11-22, Raiders, ,  Richard Seymour, fined $25K by NFL
2010-11-23, Chargers,  Vincent Jackson, , reinstated from suspension
2010-11-24, Bills, ,  Steve Johnson (d) / Stevie Johnson," fined $5,000 by NFL"
2010-11-24, Eagles, ,  Asante Samuel," fined $40,000 by NFL"
2010-11-26, Giants, ,  Brandon Jacobs," fined $20,000 by NFL"
2010-11-26, Raiders, ,  Tommy Kelly," fined $20,000 by NFL"
2010-11-27, Broncos, ,  Josh McDaniels, fined as head coach $50K by NFL
2010-11-29, Texans, ,  Andre Johnson (b), fined $25K by NFL for fighting
2010-11-29, Titans, ,  Cortland Finnegan, fined $25K by NFL for fighting
2010-11-30, Steelers, ,  James Harrison (b), fined $25K by NFL
2010-12-01, Panthers, ,  Sherrod Martin," fined $40,000 by NFL"
2010-12-03, Cardinals, ,  Clark Haggans," fined $10,000 by NFL"
2010-12-03, Cardinals, ,  Jeremy Bridges," fined $20,000 by NFL"
2010-12-03, Texans, ,  Bernard Pollard," fined $40,000 by NFL"
2010-12-06, Ravens, ,  Haloti Ngata," fined $15,000 by NFL"
2010-12-06, Ravens, ,  Jameel McClain," fined $40,000 by NFL"
2010-12-07, Redskins, ,  Albert Haynesworth, suspended by team for 4 games for conduct detrimental to team
2010-12-10, Bills, ,  Andy Levitre," fined $7,500 by NFL"
2010-12-10, Bills, ,  Quinton Ganther," fined $5,000 by NFL"
2010-12-10, Cardinals, ,  Alan Branch," fined $10,000 by NFL"
2010-12-10, Eagles, ,  Trent Cole," fined $20,000 by NFL"
2010-12-10, Lions, ,  Cliff Avril," fined $15,000 by NFL"
2010-12-10, Panthers, ,  Duke Robinson, suspended by NFL for 4 games
2010-12-10, Patriots, ,  Brandon Spikes, suspended by NFL for 4 games for violation of league policy on performance enhancing drugs
2010-12-12, Broncos, ,  Perrish Cox, fined an undisclosed amount by team for missing meetings and practice after his arrest
2010-12-15, Jaguars, ,  William Middleton," fined $5,000 by NFL"
2010-12-15, Jets, ,  Sal Alosi, suspended as assistant coach by team indefinitely for tripping opposing player
2010-12-17, Broncos, ,  Kevin Vickerson," fined $7,500 by NFL"
2010-12-17, Broncos, ,  Syd'quan Thompson," fined $5,000 by NFL"
2010-12-17, Giants, ,  Osi Umenyiora, fined $12.5K by NFL
2010-12-17, Rams, ,  Oshiomogho Atogwe / O.J. Atogwe," fined $5,000 by NFL"
2010-12-17, Vikings, ,  Asher Allen," fined $5,000 by NFL"
2010-12-23, Vikings, ,  Antoine Winfield," fined $7,500 by NFL"
2010-12-29, Lions, ,  Dominic Raiola," fined $15,000 by NFL for actions following game"
2010-12-29, Vikings, ,  Brett Favre," fined $50,000 by NFL for failing to cooperate with investigation into alledged personal conduct violations"
2011-01-03, Patriots, ,  Brandon Deaderick, suspended by team for violation of team policy
2011-01-03, Redskins,  Albert Haynesworth, , reinstated from suspension
2011-01-04, Patriots,  Brandon Spikes, , reinstated from suspension
2011-01-07, Patriots,  Brandon Deaderick, , reinstated from suspension
2011-07-29, Bengals, ,  Carson Palmer, placed on reserve/did-not-report list
2011-07-29, Giants, ,  Osi Umenyiora, placed on reserve/did-not-report list
2011-08-02, Lions, ,  Hilee Taylor, placed on reserve/did not report list
2011-08-02, Redskins, ,  Phillip Buchanon, suspended by NFL for 4 games for violation of undisclosed league policy
2011-08-17, Lions, ,  Ndamukong Suh," fined $20,000 by NFL"
2011-08-22, Raiders, ,  Terrelle Pryor, suspended by NFL for 5 games for violation of undisclosed NFL policy
2011-08-29, Titans, ,  Chris Johnson (b), placed on reserve/did-not-report list
2011-09-01, Titans,  Chris Johnson (b), , activated from reserve/did-not-report list
2011-09-03, , ,  Brandon Lang, suspended for 4 games for undisclosed reason
2011-09-03, , ,  Dominic Rhodes, suspended for 1 year for undisclosed reason
2011-09-03, , ,  Eric Alexander, suspended for 4 games for undisclosed reason
2011-09-03, , ,  Pat Williams, suspended by NFL for 2 games for violation of substance abuse policy
2011-09-03, , ,  Robert Brewster, suspended by NFL for 4 games for undisclosed reason
2011-09-03, Bears, ,  Charles Grant (b), suspended by NFL for 2 games for violation of league substance abuse policy
2011-09-03, Bengals, ,  Bobbie Williams, suspended by NFL for 4 games for violation of league substance abuse policy
2011-09-03, Browns, ,  Eric Barton, suspended for 4 games for undisclosed reason
2011-09-03, Raiders, ,  Terrelle Pryor, placed on reserve/suspended list
2011-09-03, Ravens, ,  David Reed, suspended by NFL for 1 game for violation of the league substance abuse policy
2011-09-03, Saints, ,  Harry Coleman, suspended for 1 game for undisclosed reason
2011-09-03, Saints, ,  Will Smith (a), suspended by NFL for 2 games for violation of substance abuse policy
2011-09-03, Titans, ,  Ahmard Hall, suspended by NFL for 4 games for violation of the league's substance abuse policy
2011-09-03, Vikings, ,  Kevin Williams, suspended by NFL for 2 games for violation of substance abuse policy
2011-09-06, 49ers, ,  Braylon Edwards," fined $50,000 by NFL"
2011-09-13, Ravens,  David Reed, , reinstated from suspension
2011-09-16, Giants, ,  Antrel Rolle," fined $20,000 by NFL"
2011-09-16, Giants, ,  Kenny Phillips," fined $10,000 by NFL"
2011-09-16, Ravens, ,  Brendon Ayanbadejo," fined $15,000 by NFL"
2011-09-16, Steelers, ,  Ike Taylor (a)," fined $15,000 by NFL"
2011-09-16, Steelers, ,  Troy Polamalu," fined $15,000 by NFL"
2011-09-19, Falcons, ,  Dunta Robinson," fined $40,000 by NFL"
2011-09-20, Vikings,  Kevin Williams, , reinstated from suspension
2011-09-21, Saints,  Will Smith (a), , reinstated from suspension
2011-09-21, Titans, ,  Derrick Morgan," fined $7,500 by NFL"
2011-09-23, Chargers, ,  Antonio Garay," fined $15,000 by NFL"
2011-09-23, Chargers, ,  Eric Weddle," fined $15,000 by NFL"
2011-09-23, Eagles, ,  Cullen Jenkins," fined $15,000 by NFL"
2011-09-23, Patriots, ,  Andre Carter," fined $15,000 by NFL"
2011-09-28, Browns, ,  Phil Taylor," fined $7,500 by NFL"
2011-09-28, Packers, ,  Brandon Underwood, suspended by NFL for 2 games for violation of the league's personal conduct policy
2011-09-28, Titans, ,  Jason Jones (b)," fined $15,000 by NFL"
2011-10-03, Bengals,  Bobbie Williams, , reinstated from suspension
2011-10-03, Redskins,  Phillip Buchanon, , reinstated from suspension
2011-10-03, Titans,  Ahmard Hall, , reinstated from suspension
2011-10-05, Colts, ,  Jaimie Thomas, suspended by NFL for 4 games for violation of league's substance abuse policy
2011-10-07, Raiders, ,  Richard Seymour," fined $15,000 by NFL"
2011-10-07, Ravens, ,  Haloti Ngata," fined $15,000 by NFL"
2011-10-10, Raiders,  Terrelle Pryor, , reinstated from suspension
2011-10-11, Buccaneers,  Tanard Jackson, , reinstated from suspension
2011-10-11, Giants, ,  Jimmy Kennedy, suspended by NFL for 4 games for violation of league's policy on performance enhancing drugs
2011-10-12, Giants, ,  Kenny Phillips," fined $20,000 by NFL"
2011-10-12, Ravens, ,  Matt Birk, fined $5K by NFL
2011-10-14, Bears, ,  Brandon Meriweather, fined $25K by NFL
2011-10-18, Bengals, ,  Cedric Benson, suspended by NFL for 1 game and fined 2 game checks for violation of the league's personal conduct policy
2011-10-21, Packers, ,  A.J. Hawk (a)," fined $10,000 by NFL"
2011-10-21, Packers, ,  Clay Matthews III, fined $5K by NFL
2011-10-21, Packers, ,  Tramon Williams," fined $5,000 by NFL"
2011-10-21, Steelers, ,  Troy Polamalu," fined $10,000 by NFL"
2011-10-21, Texans, ,  Antonio Smith (a)," fined $7,500 by NFL"
2011-10-25, Vikings, ,  Chris Cook, suspended by team indefinitely for domestic assault charges
2011-10-26, Vikings, ,  Brian Robison," fined $20,000 by NFL"
2011-10-28, Chiefs, ,  Brandon Flowers," fined $10,000 by NFL"
2011-10-28, Chiefs, ,  Tamba Hali," fined $15,000 by NFL"
2011-10-28, Dolphins, ,  Yeremiah Bell," fined $15,000 by NFL"
2011-10-28, Raiders, ,  Aaron Curry," fined $10,000 by NFL"
2011-10-28, Raiders, ,  Stanford Routt," fined $7,500 by NFL"
2011-10-28, Ravens, ,  Bernard Pollard," fined $10,000 by NFL"
2011-10-28, Seahawks, ,  Joseph Bryant / Red Bryant," fined $15,000 by NFL"
2011-10-31, Bengals,  Cedric Benson, , reinstated from suspension
2011-10-31, Colts,  Jaimie Thomas, , reinstated from suspension
2011-11-03, Steelers, ,  Ryan Clark," fined $15,000 by NFL"
2011-11-04, Giants, ,  Antrel Rolle," fined $15,000 by NFL"
2011-11-04, Giants, ,  Linval Joseph," fined $7,500 by NFL"
2011-11-04, Texans, ,  Duane Brown," fined $7,500 by NFL"
2011-11-04, Vikings, ,  Percy Harvin," fined $7,500 by NFL"
2011-11-07, Vikings,  Chris Cook, , reinstated from suspension
2011-11-09, Bears, ,  Earl Bennett (b)," fined $5,000 by NFL for wearing shoes that were not uniform-compliant"
2011-11-09, Steelers, ,  Ryan Clark," fined $40,000 by NFL"
2011-11-11, Broncos, ,  Von Miller," fined $15,000 by NFL"
2011-11-11, Jaguars, ,  Terrance Knighton," fined $7,500 by NFL"
2011-11-11, Raiders, ,  Aaron Curry," fined $20,000 by NFL"
2011-11-11, Raiders, ,  Jarvis Moss," fined $15,000 by NFL"
2011-11-11, Ravens, ,  Ray Lewis (b)," fined $20,000 by NFL"
2011-11-15, Giants,  Jimmy Kennedy, , reinstated from suspension
2011-11-18, Bears, ,  D.J. Moore," fined $15,000 by NFL"
2011-11-18, Bears, ,  Earl Bennett (b)," fined $10,000 by NFL"
2011-11-18, Browns, ,  Shawn Lauvao," fined $7,500 by NFL"
2011-11-18, Lions, ,  Kyle Vanden Bosch," fined $7,500 by NFL"
2011-11-18, Lions, ,  Matthew Stafford," fined $7,500 by NFL"
2011-11-18, Lions, ,  Nick Fairley," fined $15,000 by NFL"
2011-11-18, Lions, ,  Rob Sims," fined $7,500 by NFL"
2011-11-18, Panthers, ,  Byron Bell," fined $7,500 by NFL"
2011-11-18, Panthers, ,  Charles Johnson (d)," fined $7,500 by NFL"
2011-11-18, Panthers, ,  Jordan Gross," fined $7,500 by NFL"
2011-11-18, Ravens, ,  Arthur Jones," fined $7,500 by NFL"
2011-11-18, Ravens, ,  Joe Flacco," fined $7,500 by NFL"
2011-11-18, Titans, ,  Michael Griffin," fined $7,500 by NFL"
2011-11-21, Jets, ,  Rex Ryan," fined $75,000 by NFL"
2011-11-25, 49ers, ,  Dashon Goldson, fined $25K by NFL
2011-11-25, Broncos, ,  Von Miller," fined $25,000 by NFL"
2011-11-25, Cardinals, ,  Early Doucet," fined $10,000 by NFL"
2011-11-25, Dolphins, ,  Tyrone Culver," fined $20,000 by NFL"
2011-11-25, Eagles, ,  DeSean Jackson," fined $10,000 by NFL"
2011-11-25, Eagles, ,  Trevor Laws," fined $7,500 by NFL"
2011-11-25, Seahawks, ,  Kam Chancellor," fined $40,000 by NFL"
2011-11-29, Lions, ,  Ndamukong Suh, suspended by NFL for 2 games for unsportsmanlike conduct
2011-12-02, Falcons, ,  Kerry Meier," fined $20,000 by NFL"
2011-12-02, Patriots, ,  Nate Solder," fined $7,500 by NFL"
2011-12-02, Redskins, ,  Stephen Bowen," fined $15,000 by NFL"
2011-12-02, Seahawks, ,  K.J. Wright," fined $15,000 by NFL"
2011-12-02, Seahawks, ,  Vai Taua, suspended by NFL for 4 games
2011-12-06, Redskins, ,  Fred Davis (d), suspended by NFL for 4 games for violation of league's substance abuse policy
2011-12-06, Redskins, ,  Trent Williams, suspended by NFL for 4 games for violation of the league's substance abuse policy
2011-12-06, Seahawks, ,  John Moffitt, suspended by NFL for 4 games
2011-12-09, Lions, ,  Brandon Pettigrew," fined $25,000 by NFL"
2011-12-09, Lions, ,  Nate Burleson," fined $7,500 by NFL"
2011-12-09, Lions, ,  Stefan Logan," fined $7,500 by NFL"
2011-12-09, Packers, ,  Charles Woodson," fined $15,000 by NFL"
2011-12-09, Patriots, ,  Jerod Mayo, fined $25K by NFL
2011-12-09, Raiders, ,  Richard Seymour, fined $30K by NFL
2011-12-10, , ,  Matt Clapp, suspended by NFL for remainder of 2011 season and first 4 games of 2012 season for for violating an undisclosed league policy
2011-12-13, Lions,  Ndamukong Suh, , reinstated from suspension
2011-12-13, Steelers, ,  James Harrison (b), suspended by NFL for 1 game for illegal hit on quarterback
2011-12-16, 49ers, ,  Larry Grant (a)," fined $15,000 by NFL"
2011-12-16, Chiefs, ,  Jovan Belcher," fined $15,000 by NFL"
2011-12-16, Lions, ,  Stephen Tulloch," fined $10,000 by NFL"
2011-12-16, Patriots, ,  Andre Carter," fined $15,000 by NFL"
2011-12-16, Redskins, ,  DeAngelo Hall," fined $7,500 by NFL"
2011-12-16, Saints, ,  Roman Harper, fined $22K by NFL
2011-12-20, Steelers,  James Harrison (b), , reinstated from suspension
2011-12-21, Rams, ,  Austin Pettis, suspended by NFL for 4 games for violation of league's policy on performance-enhancing drugs
2011-12-22, Jets, ,  Calvin Pace," fined $15,000 by NFL"
2011-12-23, Bengals, ,  Chris Crocker," fined $15,000 by NFL"
2011-12-23, Bengals, ,  Dan Skuta," fined $20,000 by NFL"
2011-12-23, Giants, ,  Jason Pierre-Paul," fined $10,000 by NFL"
2011-12-23, Jets, ,  Santonio Holmes," fined $7,500 by NFL"
2011-12-23, Lions, ,  Cliff Avril," fined $15,000 by NFL"
2011-12-23, Lions, ,  Stephen Tulloch," fined $15,000 by NFL"
2011-12-23, Raiders, ,  Jerome Boyd," fined $20,000 by NFL"
2011-12-23, Texans, ,  Brian Cushing," fined $10,000 by NFL"
2011-12-29, , ,  Robert Brewster, suspended by NFL for 1 year
2011-12-29, Saints, ,  Pierre Thomas," fined $12,500 by NFL"
2011-12-30, Cardinals, ,  Darnell Dockett," fined $30,000 by NFL"
2011-12-30, Falcons, ,  Curtis Lofton," fined $15,000 by NFL"
2011-12-30, Redskins, ,  Reed Doughty," fined $15,000 by NFL"
2011-12-30, Texans, ,  J.J. Watt," fined $15,000 by NFL"
2012-01-04, Redskins,  Fred Davis (d), , reinstated from suspension
2012-01-04, Redskins,  Trent Williams, , reinstated from suspension
2012-01-05, Jets, ,  Bart Scott," fined $10,000 by NFL for obscene gesture made toward photographer in locker room"
2012-01-06, Chargers, ,  Antwan Barnes, fined $25K by NFL
2012-01-06, Packers, ,  Erik Walden," fined $15,000 by NFL"
2012-01-27, ,  Dominic Rhodes, , reinstated from suspension
2012-02-01, Giants, ,  Osi Umenyiora," fined $20,000 by NFL for missing a mandatory interview session with the media"
2012-02-07, Steelers, ,  Weslye Saunders, suspended by NFL for 4 games for violation of undisclosed league policy
2012-02-15, Rams, ,  Nick Miller (b), suspended by NFL for 4 games for violating league policy on performance enhancing drugs
2012-03-09, , ,  Dwayne Jarrett, suspended by NFL for 3 games for violating the league's personal conduct policy
2012-03-09, Broncos, ,  D.J. Williams (a), suspended by NFL for 6 games for violation of the league policy on performance enhancing drugs
2012-03-09, Broncos, ,  Ryan McBean, suspended by NFL for 6 games for violation of the league policy on performance enhancing drugs
2012-03-09, Broncos, ,  Virgil Green, suspended by NFL for 4 games for violation of the league policy on performance enhancing drugs
2012-03-09, Texans, ,  Brett Hartmann, suspended by NFL for 4 games for violation of the league substance abuse policy
2012-03-13, Packers, ,  Mike Neal, suspended by NFL for violation of the league policy on performance enhancing drugs
2012-03-21, Rams, ,  Gregg Williams, suspended as defensive coordinator by NFL indefinitely for his involvement in Saints bounty program
2012-03-21, Saints, ,  Joe Vitt, suspended as assistant head coach / linebackers coach by NFL for first 6 games of 2012 season for his involvement in team's bounty program
2012-03-21, Saints, ,  Mickey Loomis, suspended as GM by NFL for 8 games for his involvement in team's bounty program
